Date;PB
Dec 31, 2015;178.490657
Sep 30, 2015;179.549126
Jun 30, 2015;177.4321881
Mar 31, 2015;175.8384569
Dec 31, 2014;175.2766727
Sep 30, 2014;177.6443641
Jun 30, 2014;176.9355033
Mar 31, 2014;173.0705244
Dec 31, 2013;172.5955395
Sep 30, 2013;167.1416516
Jun 28, 2013;163.7492465
Mar 28, 2013;163.73478
Dec 31, 2012;160.8125377
Sep 28, 2012;159.5973478
Jun 29, 2012;154.1772152
Mar 30, 2012;152.6317058
Dec 30, 2011;147.8336347
Sep 30, 2011;147.8432791
Jun 30, 2011;147.8191682
Mar 31, 2011;143.230862
Dec 31, 2010;139.6359253
Sep 30, 2010;136.9379144
Jun 30, 2010;130.5846896
Mar 31, 2010;128.0168776
Dec 31, 2009;123.8288125
Sep 30, 2009;120.1760096
Jun 30, 2009;117.5864979
Mar 30, 2009;108.3616637
Dec 31, 2008;108.8294153
Sep 30, 2008;124.0747438
Jun 30, 2008;127.9566004
Mar 31, 2008;128.0144665
Dec 31, 2007;127.6889693
Sep 30, 2007;126.3411694
Jun 30, 2007;124.6317058
Mar 31, 2007;122.7221218
Dec 31, 2006;121.6130199
Sep 30, 2006;118.6160338
Jun 30, 2006;114.5051236
Mar 31, 2006;112.9909584
Dec 31, 2005;109.2368897
Sep 30, 2005;106.5147679
Jun 30, 2005;105.3405666
Mar 31, 2005;102.9029536
Dec 31, 2004;100
