Date;PB2009
Dec 31, 2015;164.0095709
Sep 30, 2015;164.9821654
Jun 30, 2015;163.0369763
Mar 31, 2015;161.5725458
Dec 31, 2014;161.0563396
Sep 30, 2014;163.2319383
Jun 30, 2014;162.580588
Mar 31, 2014;159.0291778
Dec 31, 2013;158.5927288
Sep 30, 2013;153.5813191
Jun 28, 2013;150.4641425
Mar 28, 2013;150.4508496
Dec 31, 2012;147.7656911
Sep 28, 2012;146.6490905
Jun 29, 2012;141.6686975
Mar 30, 2012;140.2485766
Dec 30, 2011;135.8397767
Sep 30, 2011;135.8486386
Jun 30, 2011;135.8264838
Mar 31, 2011;131.6104305
Dec 31, 2010;128.3071538
Sep 30, 2010;125.8280347
Jun 30, 2010;119.9902519
Mar 31, 2010;117.6307685
Dec 31, 2009;113.7824844
Sep 30, 2009;110.4260363
Jun 30, 2009;108.0466136
Mar 30, 2009;99.5701974
Dec 31, 2008;100
