Date;realGDP2009
Dec 31, 2015;128.3979
Sep 30, 2015;127.3781
Jun 30, 2015;126.3566
Mar 31, 2015;125.3294
Dec 31, 2014;124.3006
Sep 30, 2014;123.2759
Jun 30, 2014;122.2468
Mar 31, 2014;121.2209
Dec 31, 2013;120.2036
Sep 30, 2013;119.1791
Jun 30, 2013;118.1639
Mar 31, 2013;117.1549
Dec 31, 2012;116.144
Sep 30, 2012;115.1312
Jun 30, 2012;114.1073
Mar 31, 2012;113.0824
Dec 31, 2011;112.0549
Sep 30, 2011;111.0381
Jun 30, 2011;110.0263
Mar 31, 2011;109.0098
Dec 31, 2010;107.9909
Sep 30, 2010;106.9636
Jun 30, 2010;105.9328
Mar 31, 2010;104.9056
Dec 31, 2009;103.8896
Sep 30, 2009;102.892
Jun 30, 2009;101.9248
Mar 31, 2009;100.9654
Dec 31, 2008;100
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
