Month;HOXSWE
200501;100.00   
200502;101.77   
200503;102.99   
200504;104.14   
200505;105.82   
200506;105.94   
200507;106.75   
200508;109.65   
200509;111.25   
200510;111.16   
200511;112.22   
200512;111.68   
200601;113.53   
200602;116.77   
200603;118.38   
200604;118.81   
200605;120.36   
200606;119.96   
200607;120.00   
200608;121.22   
200609;122.48   
200610;122.33   
200611;121.80   
200612;121.90   
200701;125.53   
200702;129.68   
200703;132.67   
200704;135.69   
200705;137.20   
200706;137.86   
200707;137.61   
200708;140.09   
200709;139.48   
200710;136.09   
200711;131.99   
200712;129.43   
200801;134.54   
200802;136.07   
200803;138.48   
200804;139.95   
200805;139.92   
200806;139.28   
200807;136.78   
200808;135.93   
200809;133.86   
200810;126.12   
200811;124.69   
200812;122.31   
200901;128.37   
200902;132.56   
200903;135.47   
200904;136.89   
200905;137.85   
200906;136.96   
200907;136.06   
200908;139.88   
200909;143.23   
200910;144.00   
200911;143.91   
200912;142.33   
201001;148.31   
201002;148.70   
201003;148.37   
201004;148.23   
201005;148.79   
201006;147.31   
201007;145.08   
201008;148.64   
201009;149.96   
201010;149.81   
201011;150.71   
201012;149.13   
201101;151.73   
201102;153.09   
201103;153.34   
201104;152.24   
201105;151.61   
201106;149.61   
201107;147.27   
201108;147.15   
201109;146.78   
201110;145.13   
201111;143.19   
201112;139.67   
201201;146.35   
201202;147.84   
201203;149.41   
201204;151.08   
201205;150.58   
201206;149.65   
201207;149.32   
201208;151.36   
201209;151.83   
201210;149.28   
201211;149.25   
201212;147.59   
201301;153.70   
201302;155.34   
201303;156.50   
201304;157.79   
201305;158.86   
201306;158.97   
201307;157.82   
201308;161.52   
201309;161.84   
201310;160.97   
201311;159.65   
201312;158.53   
201401;167.44   
201402;168.92   
201403;170.84   
201404;172.49   
201405;173.69   
201406;173.48   
201407;174.43   
201408;179.13   
201409;180.03   
201410;178.24   
201411;182.12   
201412;182.66   
201501;188.13   
201502;192.02   
201503;196.33   
201504;199.31   
201505;199.70   
201506;198.46   
201507;201.30   
201508;206.62   
201509;208.72   
201510;210.69   
201511;209.48   
201512;208.80   
201601;215.45   
201602;217.91   
201603;219.42   
