Month;KPI
200501;100
200502;100.5
200503;100.701
200504;100.801701
200505;100.9025027
200506;100.9025027
200507;100.4988927
200508;100.6998905
200509;101.4047897
200510;101.6075993
200511;101.4043841
200512;101.4043841
200601;100.593149
200602;101.0961148
200603;101.8037876
200604;102.3128065
200605;102.5174321
200606;102.5174321
200607;102.3123973
200608;102.4147096
200609;103.0291979
200610;103.0291979
200611;103.1322271
200612;103.1322271
200701;102.616566
200702;103.1296488
200703;103.8515563
200704;104.3708141
200705;104.2664433
200706;104.4749762
200707;104.2660262
200708;104.2660262
200709;105.3086865
200710;105.8352299
200711;106.4702413
200712;106.6831818
200801;105.9363995
200802;106.3601451
200803;107.4237466
200804;107.8534416
200805;108.2848553
200806;108.8262796
200807;108.608627
200808;108.8258443
200809;109.9141027
200810;110.1339309
200811;109.2528595
200812;107.8325723
200901;107.401242
200902;107.401242
200903;107.7234458
200904;107.9388927
200905;107.615076
200906;107.8303061
200907;107.2911546
200908;107.5057369
200909;107.8282541
200910;108.1517389
200911;108.1517389
200912;108.3680424
201001;107.7178341
201002;108.3641411
201003;108.5808694
201004;108.5808694
201005;108.7980311
201006;108.7980311
201007;108.471637
201008;108.471637
201009;109.3394101
201010;109.6674284
201011;109.9964306
201012;110.7664057
201101;110.2125736
201102;110.8738491
201103;111.649966
201104;112.0965659
201105;112.320759
201106;112.0961175
201107;112.0961175
201108;112.0961175
201109;112.8807903
201110;112.8807903
201111;113.1065519
201112;113.332765
201201;112.3127701
201202;113.0989595
201203;113.4382564
201204;113.6651329
201205;113.5514678
201206;113.3243648
201207;112.8710674
201208;112.9839384
201209;113.4358742
201210;113.3224383
201211;113.0957934
201212;113.4350808
201301;112.5276002
201302;112.9777106
201303;113.4296214
201304;113.2027622
201305;113.4291677
201306;113.2023094
201307;113.0891071
201308;113.2021962
201309;113.655005
201310;113.4276949
201311;113.3142672
201312;113.65421
201401;112.2903595
201402;112.739521
201403;112.739521
201404;113.190479
201405;113.3036695
201406;113.5302769
201407;113.189686
201408;113.0764964
201409;113.3026493
201410;113.415952
201411;113.302536
201412;113.5291411
201501;112.2803206
201502;113.0662828
201503;113.1793491
201504;113.1793491
201505;113.5188871
201506;113.1783305
201507;113.1783305
201508;112.9519738
201509;113.4037817
201510;113.5171855
201511;113.2901511
201512;113.4034413
201601;113.0632309
201602;113.4024206
201603;113.9694327
